,perc
3341,3.1%
3342,9.96%
3343,8.22%
3344,67.9%
3345,3.612 percent
3346,173%
3347,20%
3348,166%
3349,249.3%
3350,7.91%
3351,81.3 percent
3352,1.06 percent
3353,5.5 percentage points
3354,68.9 percent
3355,2.24%
3356,048%
3357,38.0%
3358,35.2%
3359,60.6%
3360,87.4 percent
3361,eight percentage points
3362,0.83 percent
3363,5.38%
3364,64.4%
3365,65.7%
3366,7.08 percent
3367,90.5 percent
3368,4.51%
3369,6.62 percent
3370,0.69%
3371,65.8%
3372,66.4%
3373,0.534%
3374,50.2 percent
3375,5.1 percent
3376,23.7%
3377,19.9 percent
3378,63.6 percent
3379,275 percent
3380,2.18%
3381,21.2%
3382,30.5%
3383,15.18 percent
3384,77%
3385,2.74%
3386,63.0%
3387,23.8 percent
3388,7.44%
3389,25.07 percent
3390,66.4 percent
3391,159%
3392,137.6%
3393,5.79%
3394,15.49%
3395,59%
3396,0.03 percentage points
3397,2.462 percent
3398,19.06%
3399,1.18 percentage points
3400,214%
3401,0.1 percent
3402,83.5%
3403,50.8 percent
3404,129 percent
3405,0.45 percent
3406,36.1 percent
3407,7.8%
3408,1.62%
3409,58.7 percent
3410,19.0 percent
3411,140%
3412,66%
3413,35.1 percent
3414,34.4%
3415,85.2%
3416,33.33%
3417,10.25%
3418,5.5%
3419,4.4 percent
3420,33.7%
3421,1.18%
3422,3.00%
3423,12.8%
3424,10.7%
3425,0.84%
3426,11.34%
3427,1.38 percent
3428,3.82 percent
3429,6.36%
3430,17.6%
3431,21.82 percent
3432,18.52 percent
3433,6%
3434,56.5 percent
3435,117 percent
3436,29.7%
3437,77.4 percent
3438,46.5%
3439,177.37%
3440,26.1 percent
3441,0.83%
3442,0.1 percentage points
3443,54.5 percent
3444,2.875 percent
3445,1.39 percentage points
3446,0.5%
3447,138 percent
3448,26%
3449,0.00005%
3450,9.4%
3451,59.6 percent
3452,641 percent
3453,5.80%
3454,1.375%
3455,0.30%
3456,38 percent
3457,5120%
3458,5.66 percent
3459,6.9 percentage points
3460,7.78 percent
3461,2.38%
3462,41.9%
3463,ninety percent
3464,77.9%
3465,30.6%
3466,2.29%
3467,6.9%
3468,4.9%
3469,5 percentage points
3470,0.08 percent
3471,56.9 percent
3472,19.10 percent
3473,2.23 percent
3474,1.98 percentage points
3475,31.8 percent
3476,2.82 percent
3477,thirty-five percent
3478,2.50%
3479,8.96%
3480,54.2 percent
3481,0.90%
3482,0.82 percent
3483,22.3 percent
3484,7.35%
3485,8.98%
3486,24 percent
3487,47.2 percent
3488,16.65%
3489,23.7 percent
3490,7.90%
3491,153%
3492,88.4%
3493,99.5 percent
3494,10.0 percentage points
3495,6.42%
3496,32%
3497,2.372 percent
3498,45.4%
3499,2.349 percent
3500,24.4%
3501,14.6 percent
3502,2.05%
3503,36.2 percent
3504,3.10%
3505,175 percent
3506,11 percentage points
3507,3.61 percent
3508,31.7%
3509,5.0%
3510,26 percent
3511,10.65%
3512,1.29 percent
3513,2.6131 percent
3514,565%
3515,2.03 percent
3516,1 percent
3517,3.125%
3518,17.79 percent
3519,54.0%
3520,6.88 percent
3521,29.5 percent
3522,7.57%
3523,190 percent
3524,47.6%
3525,2.92%
3526,40.3 percent
3527,87.9%
3528,11.4 percent
3529,1.3 percentage points
3530,50.6 percent
3531,0.70 percent
3532,0.42 percentage points
3533,2.69 percent
3534,4.02 percent
3535,0.9%
3536,6.33 percent
3537,27.4%
3538,56.2 percent
3539,0.02%
3540,17.61 percent
3541,2.22%
3542,49 percent
3543,22.2%
3544,22.7 percent
3545,4.24%
3546,21 percentage points
3547,1.61%
3548,58%
3549,305%
3550,46.5 percent
3551,2.57 percent
3552,5.15%
3553,58.5%
3554,41.57%
3555,17.74%
3556,25%
3557,57.6%
3558,2.503 percent
3559,2.44 percent
3560,84 percent
3561,9.3 percent
3562,9.48%
3563,0.01 percent
3564,547%
3565,28.1%
3566,0.171 percent
3567,5.31 percent
3568,163.4%
3569,6.67%
3570,9.2 percent
3571,579 percent
3572,7.13%
3573,100000000000%
3574,84.0 percent
3575,000%
3576,213%
3577,97%
3578,52.1 percent
3579,201 percent
3580,5.25%
3581,7.19 percent
3582,3.04 percent
3583,14.5 percent
3584,10 percent
3585,21.0 percent
3586,45%
3587,46.59%
3588,1.02 percentage points
3589,52.9%
3590,1020%
3591,0.35 percent
3592,137 percent
3593,9.6 percent
3594,3.25%
3595,626.7%
3596,85%
3597,15.6%
3598,16.43%
3599,45.8 percent
3600,16.35%
3601,0.65 percent
3602,14.19%
3603,14.0%
3604,13.71%
3605,15.02 percent
3606,132%
3607,0.21%
3608,3.392%
3609,1.01%
3610,25.9 percent
3611,38.6%
3612,99 percent
3613,63.2 percent
3614,0.0945 percent
3615,7 percent
3616,63.1%
3617,3.33 percent
3618,3.97%
3619,34 percent
3620,0.14 percent
3621,1.32 percent
3622,4.71 percent
3623,9.77%
3624,11.35 percent
3625,75.8 percent
3626,67.3%
3627,0.22 percent
3628,52.1%
3629,11 percent
3630,72.6%
3631,1.11 percent
3632,4.5 percentage points
3633,2025%
3634,12.40%
3635,6.32%
3636,12.30%
3637,423%
3638,868 percent
3639,7.29%
3640,37.3%
3641,36.43 percent
3642,6.45 percent
3643,6.57%
3644,15.6 percent
3645,12.75%
3646,0.96%
3647,2.097 percent
3648,20.0 percent
3649,433%
3650,48.2 percent
3651,32.5%
3652,2.97%
3653,2.33 percent
3654,3.8 percentage points
3655,7.8 percent
3656,1.03 percentage points
3657,21.8%
3658,170 percent
3659,5.24%
3660,44.8 percent
3661,2.25%
3662,1.99 percent
3663,1.26 percent
3664,28.8%
3665,3.55%
3666,7.58%
3667,9.00%
3668,fifty percent
3669,22.5%
3670,485 percent
3671,56.4%
3672,3.98%
3673,0.0001%
3674,77 percent
3675,2.641 percent
3676,4.29 percent
3677,39.31%
3678,8.15 percent
3679,0.09%
3680,0.00%
3681,10.1%
3682,17.6 percent
3683,72.7%
3684,2.422 percent
3685,39.5%
3686,60%
3687,37.31%
3688,0.018%
3689,40.9%
3690,43.5 percent
3691,376%
3692,2.62%
3693,2700%
3694,30.7%
3695,108 percent
3696,26.8%
3697,8.72%
3698,477 percent
3699,2.84 percent
3700,48 percent
3701,5.825%
3702,25.98%
3703,5.98 percent
3704,27.5%
3705,1.097 percent
3706,99%
3707,01%
3708,20.3%
3709,80.72%
3710,30.6 percent
3711,911%
3712,12.4%
3713,14 percent
3714,twenty-one percent
3715,3.48 percentage points
3716,82.9%
3717,50.6%
3718,2.31 percent
3719,0.09 percent
3720,22.2 percentage points
3721,38.3 percent
3722,2.49%
3723,33.4%
3724,8.69%
3725,41.9 percent
3726,17.4 percent
3727,10.10%
3728,0.26%
3729,62.3 percent
3730,3.3 percentage points
3731,0.12 percent
3732,99.7%
3733,sixty percent
3734,13.1%
3735,31.57%
3736,1.30%
3737,1.50 percentage points
